Region,State,Sector,Type,Plant / Project name,Unit / Phase name,GEM unit/phase ID,Status,units combined,DGR plant name,DGR unit,Notes
NR,Rajasthan,Private,coal,Kawai Thermal Power Project,Unit 1,G100000105627,,,ADANI POWER LIMITED KAWAI TPP,Unit 1,
NR,Rajasthan,Private,coal,Kawai Thermal Power Project,Unit 2,G100000105628,,,ADANI POWER LIMITED KAWAI TPP,Unit 2,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase I Unit 1,G100000107102,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 1,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase I Unit 2,G100000107103,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 2,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase II Unit 3,G100000107104,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 3,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase II Unit 4,G100000107105,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 4,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase III Unit 5,G100000107106,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 5,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase III Unit 6,G100000107107,,,ADANI POWER LIMITED MUNDRA TPP - I & II,Unit 6,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 7,G100000107108,,,ADANI POWER LIMITED MUNDRA TPP - III,Unit 7,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 8,G100000107109,,,ADANI POWER LIMITED MUNDRA TPP - III,Unit 8,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 9,G100000107110,,,ADANI POWER LIMITED MUNDRA TPP - III,Unit 9,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase I Unit 1,G100000107102,,,ADANI POWER LIMITED MUNDRA TPP,Unit 1,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase I Unit 2,G100000107103,,,ADANI POWER LIMITED MUNDRA TPP,Unit 2,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase II Unit 3,G100000107104,,,ADANI POWER LIMITED MUNDRA TPP,Unit 3,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase II Unit 4,G100000107105,,,ADANI POWER LIMITED MUNDRA TPP,Unit 4,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase III Unit 5,G100000107106,,,ADANI POWER LIMITED MUNDRA TPP,Unit 5,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase III Unit 6,G100000107107,,,ADANI POWER LIMITED MUNDRA TPP,Unit 6,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 7,G100000107108,,,ADANI POWER LIMITED MUNDRA TPP,Unit 7,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 8,G100000107109,,,ADANI POWER LIMITED MUNDRA TPP,Unit 8,
WR,Gujarat,Private,coal,Mundra Thermal Power Project (Adani),Phase IV Unit 9,G100000107110,,,ADANI POWER LIMITED MUNDRA TPP,Unit 9,
WR,Chhatisgarh,Private,coal,Adani Raigarh Thermal Power Plant,Unit 1,G100000100034,,,ADANI POWER LIMITED RAIGARH TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Raikheda power station,Unit 1,G100000108445,,,ADANI POWER LIMITED RAIPUR TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Raikheda power station,Unit 2,G100000108446,,,ADANI POWER LIMITED RAIPUR TPP,Unit 2,
WR,Maharashtra,Private,coal,Tiroda Thermal Power Project,Phase I Unit 1,G100000110182,,,ADANI POWER LIMITED TIRODA TPP,Unit 1,
WR,Maharashtra,Private,coal,Tiroda Thermal Power Project,Phase I Unit 2,G100000110183,,,ADANI POWER LIMITED TIRODA TPP,Unit 2,
WR,Maharashtra,Private,coal,Tiroda Thermal Power Project,Phase II Unit 3,G100000110184,,,ADANI POWER LIMITED TIRODA TPP,Unit 3,
WR,Maharashtra,Private,coal,Tiroda Thermal Power Project,Phase III Unit 4,G100000110185,,,ADANI POWER LIMITED TIRODA TPP,Unit 4,
WR,Maharashtra,Private,coal,Tiroda Thermal Power Project,Phase III Unit 5,G100000110186,,,ADANI POWER LIMITED TIRODA TPP,Unit 5,
SR,Karnataka,Private,coal,Udupi power station,Unit 1,G100000110429,,,ADANI POWER LIMITED UDUPI TPP,Unit 1,
SR,Karnataka,Private,coal,Udupi power station,Unit 2,G100000110430,,,ADANI POWER LIMITED UDUPI TPP,Unit 2,
NER,Tripura,Central,oil/gas,Agartala power plant,1,G100000409910,,,AGARTALA GT,,
WR,Chhatisgarh,Private,coal,KSK Mahanadi Power Project,Unit 4,G100000105989,,,AKALTARA TPS,Unit 1,
WR,Chhatisgarh,Private,coal,KSK Mahanadi Power Project,Unit 1,G100000105986,,,AKALTARA TPS,Unit 2,
WR,Chhatisgarh,Private,coal,KSK Mahanadi Power Project,Unit 2,G100000105987,,,AKALTARA TPS,Unit 3,
WR,Chhatisgarh,Private,coal,KSK Mahanadi Power Project,Unit 3,G100000105988,,,AKALTARA TPS,Unit 4,
WR,Gujarat,State,coal,Akrimota Power Project,Unit 1,G100000100094,,,AKRIMOTA LIG TPS,Unit 1,
WR,Gujarat,State,coal,Akrimota Power Project,Unit 2,G100000100095,,,AKRIMOTA LIG TPS,Unit 2,
WR,Madhya Pradesh,State,coal,MP Amarkantak power station,Unit 5,G100000107065,,,AMARKANTAK EXT TPS,Unit 3,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 1,G100000100166,,,AMRAVATI TPS,Unit 1,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 2,G100000100167,,,AMRAVATI TPS,Unit 2,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 3,G100000100168,,,AMRAVATI TPS,Unit 3,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 4,G100000100169,,,AMRAVATI TPS,Unit 4,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 5,G100000100170,,,AMRAVATI TPS,Unit 5,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 1,G100000100166,,,AMARAVATI TPS,Unit 1,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 2,G100000100167,,,AMARAVATI TPS,Unit 2,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 3,G100000100168,,,AMARAVATI TPS,Unit 3,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 4,G100000100169,,,AMARAVATI TPS,Unit 4,
WR,Maharashtra,Private,coal,Amravati Thermal Power Project,Phase I Unit 5,G100000100170,,,AMARAVATI TPS,Unit 5,
NR,Uttar Pradesh,Private,coal,Anpara-C power station,Unit 1,G100000100258,,,ANPARA C TPS,Unit 1,
NR,Uttar Pradesh,Private,coal,Anpara-C power station,Unit 2,G100000100259,,,ANPARA C TPS,Unit 2,
NR,Uttar Pradesh,State,coal,Anpara power station,Phase A Unit 1,G100000100253,,,ANPARA TPS,Unit 1,
NR,Uttar Pradesh,State,coal,Anpara power station,Phase A Unit 2,G100000100254,,,ANPARA TPS,Unit 2,
NR,Uttar Pradesh,State,coal,Anpara power station,Phase A Unit 3,G100000100255,,,ANPARA TPS,Unit 3,
NR,Uttar Pradesh,State,coal,Anpara power station,Phase B Unit 1,G100000100256,,,ANPARA TPS,Unit 4,
NR,Uttar Pradesh,State,coal,Anpara power station,Phase B Unit 2,G100000100257,,,ANPARA TPS,Unit 5,
NR,Uttar Pradesh,State,coal,Anpara-D power station,Unit 1,G100000100260,,,ANPARA TPS,Unit 6,
NR,Uttar Pradesh,State,coal,Anpara-D power station,Unit 2,G100000100261,,,ANPARA TPS,Unit 7,
NR,Rajasthan,Central,oil/gas,Anta power plant,01-Apr,G100000401434,,COMBINED,ANTA CCPP,,
WR,Madhya Pradesh,Private,coal,Anuppur Thermal Power Project,Phase 1 Unit 1,G100000100280,,,ANUPPUR TPP,Unit 1,
WR,Madhya Pradesh,Private,coal,Anuppur Thermal Power Project,Phase 1 Unit 2,G100000100281,,,ANUPPUR TPP,Unit 2,
NR,Uttar Pradesh,Central,oil/gas,Auraiya Combined Cycle power plant,01-Jun,G100000401436,,COMBINED,AURAIYA CCPP,,
WR,Chhatisgarh,Private,coal,Adani Raigarh Thermal Power Plant,Unit 1,G100000100034,,,AVANTHA BHANDAR,Unit 1,
NR,Delhi,Central,coal,Badarpur power station,Phase 1 Unit 1,G100000100419,,,BADARPUR TPS,Unit 1,
NR,Delhi,Central,coal,Badarpur power station,Phase 1 Unit 2,G100000100420,,,BADARPUR TPS,Unit 2,
NR,Delhi,Central,coal,Badarpur power station,Phase 1 Unit 3,G100000100421,,,BADARPUR TPS,Unit 3,
NR,Delhi,Central,coal,Badarpur power station,Phase 2 Unit 1,G100000100422,,,BADARPUR TPS,Unit 4,
NR,Delhi,Central,coal,Badarpur power station,Phase 2 Unit 2,G100000100423,,,BADARPUR TPS,Unit 5,
ER,West Bengal,State,coal,Bakreswar Thermal Power Station,Unit 1,G100000100449,,,BAKRESWAR TPS,Unit 1,
ER,West Bengal,State,coal,Bakreswar Thermal Power Station,Unit 2,G100000100450,,,BAKRESWAR TPS,Unit 2,
ER,West Bengal,State,coal,Bakreswar Thermal Power Station,Unit 3,G100000100451,,,BAKRESWAR TPS,Unit 3,
ER,West Bengal,State,coal,Bakreswar Thermal Power Station,Unit 4,G100000100452,,,BAKRESWAR TPS,Unit 4,
ER,West Bengal,State,coal,Bakreswar Thermal Power Station,Unit 5,G100000100453,,,BAKRESWAR TPS,Unit 5,
WR,Chhatisgarh,Private,coal,BALCO Korba power station,Phase 3 Unit 1,G100000100471,,,BALCO TPS,Unit 1,
WR,Chhatisgarh,Private,coal,BALCO Korba power station,Phase 3 Unit 2,G100000100472,,,BALCO TPS,Unit 2,
WR,Chhatisgarh,Private,coal,Bhandhakhar power station,--,G100000100799,,,BANDAKHAR TPP,Unit 1,
ER,West Bengal,State,coal,Bandel Thermal Power Station,Unit 2,G100000100496,,,BANDEL TPS,Unit 2,
ER,West Bengal,State,coal,Bandel Thermal Power Station,Unit 5,G100000100499,,,BANDEL TPS,Unit 5,
WR,Chhatisgarh,Private,coal,Baradarha power station,Unit 1,G100000100593,,,BARADARHA TPS,Unit 1,
WR,Chhatisgarh,Private,coal,Baradarha power station,Unit 2,G100000100594,,,BARADARHA TPS,Unit 2,
ER,Bihar,Central,coal,Barauni power station,Unit 6,G100000100607,,,BARAUNI TPS,Unit 6,
