plant_code,plant_name
1,Sand Point
2,Bankhead Dam
3,Barry
4,Walter Bouldin Dam
7,Gadsden
8,Gorgas
9,Copper
10,Greene County
11,H Neely Henry Dam
12,Holt Dam
13,Jordan Dam
14,Logan Martin Dam
15,Lay Dam
16,Martin Dam
17,Mitchell Dam
18,Lewis Smith Dam
19,Thurlow Dam
20,Weiss Dam
21,Yates Dam
26,E C Gaston
30,Madelia
34,Rollins
38,Millers Ferry
46,Browns Ferry
47,Colbert
48,Guntersville
49,Wheeler Dam
50,Widows Creek
51,Dolet Hills
53,Gantt
54,J K Smith
55,Point A
56,Lowman Energy Center
59,Platte
60,Whelan Energy Center
62,Annex Creek
63,Gold Creek
64,Lemon Creek
65,Salmon Creek 1
66,Skagway
69,Haines
70,Swan Lake
71,Terror Lake Microgrid
72,Venice Hydro
75,Hank Nikkels Plant 1
77,Eklutna Hydro Project
78,Snettisham
79,Chena Power Plant
84,Ketchikan
85,S W Bailey
87,Escalante
88,Ashokan
90,Snake River
91,Petersburg
92,Seward (AK)
93,Blue Lake Hydro
95,Wrangell
96,Beluga
99,Frederickson
100,South Consolidated
104,J S Eastwood
108,Holcomb
109,Dillingham
113,Cholla
114,Douglas
116,Ocotillo
117,West Phoenix
118,Saguaro
120,Yucca
124,Demoss Petrie
126,H Wilson Sundt Generating Station
127,Oklaunion
130,Cross
136,Seminole (FL)
141,Agua Fria
143,Crosscut
145,Horse Mesa
147,Kyrene
148,Mormon Flat
149,Roosevelt
150,Stewart Mountain
151,McClure
152,Davis Dam
153,Glen Canyon Dam
154,Hoover Dam (NV)
159,Lake Creek Dam
160,Apache Station
161,Turlock Lake
162,Hickman
165,GREC
166,Carpenter
167,Cecil Lynch
169,Harvey Couch
170,Lake Catherine
171,Mabelvale
172,Osceola (AR)
173,Robert E Ritchie
174,Remmel
180,Volta 2
182,Beaver Dam (AR)
187,Degray
188,Greers Ferry Lake
193,Municipal Light
195,Narrows (AR)
196,Norfork
197,Blakely Mountain
198,Bull Shoals
199,Dardanelle
201,Thomas Fitzhugh
202,Carl Bailey
203,McClellan (AR)
204,Clinton Power Station
207,St Johns River Power Park
210,Wolf Creek Generating Station
214,Alta Powerhouse
215,Angels
217,Balch 1
218,Balch 2
219,Belden
220,Bucks Creek
221,Butt Valley
222,Caribou 1
223,Caribou 2
225,Chili Bar
226,Coal Canyon
227,Coleman PH
228,Contra Costa
229,Cow Creek
231,Cresta
232,De Sabla
233,Deer Creek PH
235,Drum 1
236,Drum 2
237,Dutch Flat
238,El Dorado
239,Electra
240,Haas
241,Halsey
242,Hamilton Branch
243,Hat Creek 1
244,Hat Creek 2
246,Humboldt Bay
248,Inskip
249,James B Black
250,Kerckhoff
253,Kilarc
254,Kings River PH
255,Lime Saddle
258,Merced Falls
259,Dynegy Morro Bay LLC
260,Dynegy Moss Landing Power Plant Hybrid
261,Murphys
262,Narrows PH
264,Phoenix
265,Pit 1
266,Pit 3
267,Pit 4
268,Pit 5
269,Pit 6
270,Pit 7
271,Pittsburg Power
272,Poe
274,Potter Valley
275,Rock Creek
276,San Joaquin 2
277,San Joaquin 3
279,Salt Springs
280,South
281,Spaulding 1
282,Spaulding 2
283,Spaulding 3
284,Spring Gap
285,Stanislaus
286,Geysers Unit 5-20
287,Tiger Creek
289,Tule River
290,Volta 1
291,West Point PH
292,Wise
293,A G Wishon
294,Copco 1
295,Copco 2
296,Fall Creek
297,Iron Gate
298,Limestone
299,Blundell
301,El Cajon
302,Encina
303,Kearny
305,Miramar
313,Green Lake
314,Drop 5 (CA)
315,AES Alamitos LLC
316,Sepulveda Canyon
317,Big Creek 1
318,Big Creek 2
319,Big Creek 3
320,Big Creek 4
321,Big Creek 8
322,Big Creek 2A
323,Bishop Creek 2
324,Bishop Creek 3
325,Bishop Creek 4
326,Bishop Creek 5
327,Bishop Creek 6
328,Borel
329,Coolwater
330,El Segundo Power
331,Etiwanda Generating Station
332,Fontana
335,AES Huntington Beach LLC
336,Kaweah 2
337,Kaweah 1
338,Kaweah 3
339,Kern River 3
340,Kern River 1
341,Long Beach Generation LLC
342,Lundy
344,Mammoth Pool
345,Mandalay
350,Ormond Beach
353,Poole
354,Portal
356,AES Redondo Beach LLC
357,Rush Creek
358,Mountainview Generating Station
360,San Onofre Nuclear Generating Station
361,Santa Ana 1
363,Santa Ana 3
365,Lower Tule River
371,Columbia Generating Station
376,Pardee
377,Grayson
378,Prairie River
380,Dion R Holm
381,Moccasin
382,R C Kirkwood
384,Joliet 29
385,Drop 2 (CA)
386,Drop 3 (CA)
387,Drop 4
388,Pilot Knob
389,El Centro Hybrid
390,Solomon Gulch
391,Big Pine Creek
392,Castaic
393,Control Gorge
394,Cottonwood
396,Foothill
397,Franklin (CA)
398,Haiwee
399,Harbor
400,Haynes
401,Middle Gorge
402,Pleasant Valley Hydro
403,San Fernando
404,Scattergood
406,Tok
407,Upper Gorge
408,Valley (CA)
409,Exchequer
410,McSwain
412,Chicago Park
413,Dutch Flat 2
414,Beardsley
415,Donnells
416,Tulloch
417,Forbestown
418,Kelly Ridge
419,Woodleaf
420,Broadway (CA)
421,Craig (AK)
422,Glenarm
423,Hydaburg
424,French Meadows
425,Middle Fork
426,Oxbow (CA)
427,Ralston
428,Parker
430,Camino
431,Jaybird
432,Loon Lake
433,Robbs Peak
435,White Rock/Slab Creek
436,Devil Canyon
437,Edward C Hyatt
438,Thermalito
439,Don Pedro
440,La Grange
441,Folsom
442,Judge F Carr
443,Keswick
444,Nimbus
445,Shasta
446,ONeill
447,Parker Dam
448,W R Gianelli
450,Spring Creek
451,Trinity
454,Colgate
455,Narrows 2
457,Bear Valley
460,Pueblo
462,W N Clark
464,Alamosa
465,Arapahoe
466,Boulder Canyon Hydro
467,Cabin Creek
469,Cherokee
470,Comanche (CO)
471,Fruita
472,Georgetown Hydro
473,Grand Valley Project Power Plant
474,Salida
476,Shoshone (CO)
477,Valmont
478,Zuni
479,Temescal
480,Corona
481,Perris
482,Rio Hondo
483,Coyote Creek
484,Red Mountain
487,Valley View
489,Upper Dawson
490,Burlington City of
491,Center
492,South Plant (CO)
493,George Birdsall
494,Manitou Springs
495,Ruxton Park
496,Delta (CO)
502,Holly
504,Julesburg
