エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,認可出力（変更後）,適用開始日,稼働開始日,稼働終了日,最終更新日時
"沖縄","沖縄電力株式会社","00101","吉の浦1号","火力（ガス）","1号機","251000","","","1900/01/01","9999/12/31","2016/04/12 17:44",
"沖縄","沖縄電力株式会社","00102","吉の浦2号","火力（ガス）","2号機","251000","","","1900/01/01","9999/12/31","2016/04/12 17:45",
"沖縄","沖縄電力株式会社","04002","牧港GT2号","火力（石油）","GT2号機","103000","","","1900/01/01","9999/12/31","2022/08/17 16:28",
"沖縄","沖縄電力株式会社","05001","牧港9号","火力（石油）","9号機","125000","","","1900/01/01","9999/12/31","2016/04/12 17:21",
"沖縄","沖縄電力株式会社","05301","石川1号","火力（石油）","1号機","125000","","","1900/01/01","9999/12/31","2016/04/12 17:29",
"沖縄","沖縄電力株式会社","05302","石川2号","火力（石油）","2号機","125000","","","1900/01/01","9999/12/31","2016/04/12 17:33",
"沖縄","沖縄電力株式会社","05303","石川GT1号","火力（石油）","GT1号機","103000","","","1900/01/01","9999/12/31","2022/08/17 16:25",
"沖縄","電源開発","05451","石川石炭火力発電所１号機","火力（石炭）","1号機","156000","","","1900/01/01","9999/12/31","2016/04/13 09:08",
"沖縄","電源開発","05452","石川石炭火力発電所２号機","火力（石炭）","2号機","156000","","","1900/01/01","9999/12/31","2016/04/13 09:08",
"沖縄","沖縄電力株式会社","07001","具志川1号","火力（石炭）","1号機","156000","","","1900/01/01","9999/12/31","2019/12/18 18:35",
"沖縄","沖縄電力株式会社","07002","具志川2号","火力（石炭）","2号機","156000","","","1900/01/01","9999/12/31","2016/04/12 17:48",
"沖縄","沖縄電力株式会社","09201","金武1号","火力（石炭）","1号機","220000","","","1900/01/01","9999/12/31","2016/04/12 17:42",
"沖縄","沖縄電力株式会社","09202","金武2号","火力（石炭）","2号機","220000","","","1900/01/01","9999/12/31","2016/04/12 17:41",
"北海道","北海道電力株式会社","10001","泊発電所","原子力","１号機","579000","","","1900/01/01","9999/12/31","2016/04/12 19:23",
"北海道","北海道電力株式会社","10001","泊発電所","原子力","２号機","579000","","","1900/01/01","9999/12/31","2016/04/12 19:24",
"北海道","北海道電力株式会社","10001","泊発電所","原子力","３号機","912000","","","1900/01/01","9999/12/31","2016/04/12 19:26",
"北海道","北海道電力株式会社","10006","苫東厚真発電所","火力（石炭）","１号機","350000","","","1900/01/01","9999/12/31","2016/04/13 08:27",
"北海道","北海道電力株式会社","10010","苫東厚真発電所","火力（石炭）","２号機","600000","","","1900/01/01","9999/12/31","2016/04/13 08:28",
"北海道","北海道電力株式会社","10011","苫東厚真発電所","火力（石炭）","４号機","700000","","","1900/01/01","9999/12/31","2016/04/13 08:29",
"北海道","北海道電力株式会社","10019","石狩湾新港発電所","火力（ガス）","１号機","569400","","","2019/02/27","9999/12/31","2019/02/25 16:00",
"北海道","北海道電力株式会社","10203","奈井江発電所","火力（石炭）","１号機","175000","","","1900/01/01","2027/03/31","2023/12/04 15:10",
"北海道","北海道電力株式会社","10204","苫小牧発電所","火力（石油）","単独","250000","","","1900/01/01","9999/12/31","2016/04/13 08:45",
"北海道","北海道電力株式会社","10205","伊達発電所","火力（石油）","１号機","350000","","","1900/01/01","9999/12/31","2016/04/13 08:31",
"北海道","北海道電力株式会社","10207","知内発電所","火力（石油）","１号機","350000","","","1900/01/01","9999/12/31","2016/04/13 08:42",
"北海道","北海道電力株式会社","10212","奈井江発電所","火力（石炭）","２号機","175000","","","1900/01/01","2027/03/31","2023/12/04 15:11",
"北海道","北海道電力株式会社","10213","伊達発電所","火力（石油）","２号機","350000","","","1900/01/01","9999/12/31","2016/04/13 08:32",
"北海道","北海道電力株式会社","10214","知内発電所","火力（石油）","２号機","350000","","","1900/01/01","9999/12/31","2016/04/13 08:43",
"北海道","北海道電力株式会社","10215","砂川発電所","火力（石炭）","４号機","125000","","","1900/01/01","2027/03/31","2023/12/04 15:12",
"北海道","北海道パワーエンジニアリング株式会社","10216","北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力発電所3G","火力（石油）","単独","250000","","","1900/01/01","9999/12/31","2016/05/30 14:35",
"北海道","北海道電力株式会社","10602","砂川発電所","火力（石炭）","３号機","125000","","","1900/01/01","2027/03/31","2023/12/04 15:12",
"北海道","北海道電力株式会社","13017","京極発電所","水力","１号機","200000","","","1900/01/01","9999/12/31","2016/04/13 08:58",
"北海道","北海道電力株式会社","13017","京極発電所","水力","２号機","200000","","","1900/01/01","9999/12/31","2016/04/13 09:05",
"北海道","株式会社釧路火力発電所","15775","釧路火力発電所","","1","112000","","","2020/12/01","9999/12/31","2023/07/31 14:21",
"北海道","北海道電力株式会社","16206","新冠発電所","水力","１号機","100000","","","1900/01/01","9999/12/31","2016/04/13 08:48",
"北海道","北海道電力株式会社","16206","新冠発電所","水力","２号機","100000","","","1900/01/01","9999/12/31","2016/04/13 08:50",
"北海道","北海道電力株式会社","16212","高見発電所","水力","１号機","100000","","","1900/01/01","9999/12/31","2016/04/13 08:52",
"北海道","北海道電力株式会社","16212","高見発電所","水力","２号機","100000","","","1900/01/01","9999/12/31","2016/04/13 08:57",
"東北","東北電力株式会社","21001","東通原子力発電所","原子力","東通原子力発電所1号機","1100000","","","1900/01/01","9999/12/31","2025/09/03 11:34",
"東北","相馬共同火力発電株式会社","2500125017","相馬共同火力発電株式会社新地火力発電所","火力（石炭）","新地1号機","1000000","","","1900/01/01","9999/12/31","2016/04/19 16:13",
"東北","相馬共同火力発電株式会社","2500125017","相馬共同火力発電株式会社新地火力発電所","火力（石炭）","新地2号機","1000000","","","1900/01/01","9999/12/31","2016/04/19 16:15",
"東北","東北電力株式会社","29538","東北電力上越火力発電所１号機","火力（ガス）","１号機","599000","","","2022/12/01","9999/12/31","2026/01/30 14:07",
"東北","東北電力株式会社","2A129","東北電力八戸火力発電所５号機","火力（ガス）","５号機ＳＴ","141900","","","1900/01/01","9999/12/31","2016/04/28 15:37",
"東北","東北電力株式会社","2A129","東北電力八戸火力発電所５号機","火力（ガス）","５号機ＧＴＢ","276100","","","1900/01/01","9999/12/31","2016/04/28 15:38",
"東北","東北電力株式会社","2F104","東北電力能代火力発電所１号機","火力（石炭）","１号機","600000","","","1900/01/01","9999/12/31","2016/04/28 15:39",
"東北","東北電力株式会社","2F105","東北電力能代火力発電所２号機","火力（石炭）","２号機","600000","","","1900/01/01","9999/12/31","2016/04/28 15:41",
"東北","東北電力株式会社","2F109","東北電力能代火力発電所３号機","火力（石炭）","３号機","600000","","","2020/03/02","9999/12/31","2020/03/02 17:03",
"東北","東北電力株式会社","2J102","女川原子力発電所","原子力","女川原子力発電所2号機","825000","","","1900/01/01","9999/12/31","2016/04/28 18:49",
"東北","東北電力株式会社","2J103","女川原子力発電所","原子力","女川原子力発電所3号機","825000","","","1900/01/01","9999/12/31","2016/04/28 20:03",
"東北","日本製紙石巻エネルギーセンター","2J138","石巻雲雀野発電所","火力（石炭）","1号機","149000","","","2018/03/01","9999/12/31","2018/06/01 13:54",
"東北","仙台パワーステーション株式会社","2K210","仙台パワーステーション","火力（石炭）","単独","112000","","","2017/10/01","9999/12/31","2018/03/06 13:18",
"東北","東北電力株式会社","2K218","東北電力仙台火力発電所４号機","火力（ガス）","４号機","468000","","","1900/01/01","9999/12/31","2020/08/18 11:09",
"東北","東北電力株式会社","2K219","東北電力新仙台火力発電所３号系列","火力（ガス）","３－１号機","523000","","","1900/01/01","9999/12/31","2020/08/18 11:18",
"東北","東北電力株式会社","2K219","東北電力新仙台火力発電所３号系列","火力（ガス）","３－２号機","523000","","","1900/01/01","9999/12/31","2020/08/18 11:21",
"東北","仙台港バイオマスパワー合同会社","2K264","仙台港バイオマスパワー発電所","その他","単独","112000","","","2025/11/24","2045/08/31","2026/02/03 12:06",
"東北","エイブルエナジー合同会社","2S319","福島いわきバイオマス発電所","その他","1","112000","","","2022/04/01","9999/12/31","2022/07/07 11:11",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","1号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:53",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","2号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:55",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","3号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:57",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","4号機","100000","","","1900/01/01","9999/12/31","2016/04/12 11:23",
"東北","東北電力株式会社","2T406","第二沼沢発電所","水力","１号機","230000","","","1900/01/01","9999/12/31","2016/04/28 16:01",
"東北","東北電力株式会社","2T407","第二沼沢発電所","水力","２号機","230000","","","1900/01/01","9999/12/31","2016/04/28 16:02",
"東北","東北電力株式会社","2U308","東北電力原町火力発電所１号機","火力（石炭）","１号機","1000000","","","1900/01/01","9999/12/31","2016/04/28 15:55",
"東北","東北電力株式会社","2U309","東北電力原町火力発電所２号機","火力（石炭）","２号機","1000000","","","1900/01/01","9999/12/31","2016/04/28 15:57",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－６号機GTB","137000","","","1900/01/01","9999/12/31","2016/04/28 16:14",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－１号機ＳＴ","203000","","","1900/01/01","9999/12/31","2016/04/28 16:06",
