country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
Australia,L100000100031,Anglesea power station,,,Victoria,-38.38655,144.182062,,160,0,1,0,https://www.gem.wiki/Anglesea_power_station
Australia,L100000100027,Arckaringa Coal-to-Liquids and Power Project,,,South Australia,-27.938926,134.726094,,,0,0,2,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project
Australia,L100000100004,Bayswater power station,,,New South Wales,-32.395,150.9492,2665,,4,0,1,https://www.gem.wiki/Bayswater_power_station
Australia,L100000100038,Bluewaters power station,,,Western Australia,-33.332186,116.228023,466,,2,0,2,https://www.gem.wiki/Bluewaters_power_station
Australia,L100000100012,Callide Oxyfuel Project,,Callide-A power station,Queensland,-24.347222,150.617115,,30,0,1,0,https://www.gem.wiki/Callide_Oxyfuel_Project
Australia,L100000100013,Callide power station,,,Queensland,-24.347222,150.617115,1620,,4,0,0,https://www.gem.wiki/Callide_power_station
Australia,L100000100039,Collie power station,,,Western Australia,-33.343094,116.260847,350,,1,0,0,https://www.gem.wiki/Collie_power_station
Australia,L100000104597,Collinsville (Shine Energy) power station,,,New South Wales,-20.545051,147.804557,,,0,0,3,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station
Australia,L100000100014,Collinsville power station,,,Queensland,-20.545051,147.804557,,180,0,5,0,https://www.gem.wiki/Collinsville_power_station
Australia,L100000100040,Coolimba power station,,,Western Australia,-29.816667,115.266667,,,0,0,3,https://www.gem.wiki/Coolimba_power_station
Australia,L100000100032,Dual Gas power station,,,Victoria,-38.251967,146.41634,,,0,0,2,https://www.gem.wiki/Dual_Gas_power_station
Australia,L100000100033,Energy Brix power station,,Morwell power station,Victoria,-38.25397,146.413666,,150,0,4,0,https://www.gem.wiki/Energy_Brix_power_station
Australia,L100000100005,Eraring power station,,,New South Wales,-33.06223,151.521359,2880,,4,0,0,https://www.gem.wiki/Eraring_power_station
Australia,L100000100015,Galilee Basin Power Project,,,Queensland,-21.149203,144.799206,,,0,0,2,https://www.gem.wiki/Galilee_Basin_Power_Project
Australia,L100000100016,Galilee Power project,,,Queensland,-23.473166,146.551237,,,0,0,2,https://www.gem.wiki/Galilee_Power_project
Australia,L100000100017,Gladstone power station,,,Queensland,-23.850667,151.219711,1680,,6,0,0,https://www.gem.wiki/Gladstone_power_station
Australia,L100000104598,Hazelwood (Sunset Power International) power station,,,Victoria,-38.271833,146.390879,,,0,0,2,https://www.gem.wiki/Hazelwood_(Sunset_Power_International)_power_station
Australia,L100000100034,Hazelwood power station,,,Victoria,-38.271833,146.390879,,1600,0,8,0,https://www.gem.wiki/Hazelwood_power_station
Australia,L100000100018,Kogan Creek power station,,,Queensland,-26.917881,150.750738,750,,1,0,0,https://www.gem.wiki/Kogan_Creek_power_station
Australia,L100000104765,Kurri Kurri power station,,,New South Wales,-32.829077,151.467635,,,0,0,2,https://www.gem.wiki/Kurri_Kurri_power_station
Australia,L100000100041,Kwinana power station,,,Western Australia,-32.198337,115.775155,,640,0,4,0,https://www.gem.wiki/Kwinana_power_station
Australia,L100000100006,Liddell power station,,,New South Wales,-32.3716,150.978421,,2000,0,4,0,https://www.gem.wiki/Liddell_power_station
Australia,L100000100035,Loy Yang A power station,,,Victoria,-38.252414,146.575334,2215,,4,0,0,https://www.gem.wiki/Loy_Yang_A_power_station
Australia,L100000100036,Loy Yang B power station,,,Victoria,-38.255503,146.586018,1026,,2,0,0,https://www.gem.wiki/Loy_Yang_B_power_station
Australia,L100000100019,Millmerran power station,,,Queensland,-27.960696,151.279301,880,,2,0,0,https://www.gem.wiki/Millmerran_power_station
Australia,L100000100020,Moray power station,,,Queensland,-22.012451,146.383553,,,0,0,1,https://www.gem.wiki/Moray_power_station
Australia,L100000100007,Mount Piper power station,,,New South Wales,-33.358087,150.032036,1390,,2,0,2,https://www.gem.wiki/Mount_Piper_power_station
Australia,L100000100042,Muja power station,,,Western Australia,-33.445875,116.307528,454,640,2,6,0,https://www.gem.wiki/Muja_power_station
Australia,L100000100008,Munmorah power station,,,New South Wales,-33.212081,151.542216,,600,0,2,0,https://www.gem.wiki/Munmorah_power_station
Australia,L100000100028,Northern Augusta power station,,"Northern power station, Port Augusta power station",South Australia,-32.542518,137.78785,,520,0,2,0,https://www.gem.wiki/Northern_Augusta_power_station
Australia,L100000100029,Playford power station,,"Playford B power station, Port Augusta power station",South Australia,-32.538523,137.782198,,240,0,4,0,https://www.gem.wiki/Playford_power_station
