source_system,plant_code,plant_name,source_country,coal_relevant,has_coordinates,decided_by,pipeline_note,candidate_1_id,candidate_1_name,candidate_1_score,candidate_2_id,candidate_2_name,candidate_2_score,candidate_3_id,candidate_3_name,candidate_3_score,gem_location_id,not_in_gem,decision_note
CHILE,,TER IEM,Chile,t,f,,,,,,,,,,,,,f,
EIA,79,Chena Power Plant,United States,t,f,,,L100000401723,Chouteau power station,61.5,L100000103786,Healy Power Plant,60,L100000402142,Canal power station,60,,f,
EIA,50397,P H Glatfelter,United States,t,f,,,,,,,,,,,,,f,
EIA,57915,WE Soda Alkalai LLC,United States,t,f,,,L100000200334,Granite Falls Alfalfa power station,55,,,,,,,,f,
ENTSOE,,AG,Greece,t,f,,,,,,,,,,,,,f,
ENTSOE,,Block 1,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,Block 2,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,Block 3,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,DEWHV______1_____ ,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G1___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G2___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G2____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G3___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G3____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G4___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ECHV_G4____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EDET_G1___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EDET_G2___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EDET_G2____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EDET_G3____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EDET_G4___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G4___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G4____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G5___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G5____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G7___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EECK_G7____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EME2_G10,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EME2_G9,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EME3_G11__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G2___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G2____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G3___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G3____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G4___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G4____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G5___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G5____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G6___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPC1_G6____,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G23__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G23___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G24__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G24___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G25__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,EPR2_G25___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETI2.G6,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G21__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G21___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G22__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G22___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G23__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G23___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G24__,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,ETU2_G24___,Czech Republic,t,f,,,,,,,,,,,,,f,
ENTSOE,,GKM AG Amprion,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,GKM AG DBEnergie,Germany,t,f,,,,,,,,,,,,,f,
ENTSOE,,GUARDO 1,Spain,t,f,,,,,,,,,,,,,f,
ENTSOE,,KS,Kosovo,t,f,,,,,,,,,,,,,f,
ENTSOE,,KS_TGA3,Kosovo,t,f,,,,,,,,,,,,,f,
ENTSOE,,KS_TGB2,Kosovo,t,f,,,,,,,,,,,,,f,
ENTSOE,,MÁ2_gép3,Hungary,t,f,,,,,,,,,,,,,f,
